"","ID","linear.f0","linear.f0.se","linear.f0.p","linear.C0","linear.AIC","linear.AICc","linear.RSE","linear.r","linear.diagnostics"
"18","2021-03-16_CA02_R2",-23.8015686143264,0.258463880511053,5.98881760641939e-238,1.54661763745487,-3680.23343279975,-3680.16048447148,0.000957857527117868,-0.981037521978715,""
"19","2021-03-16_CA02_R4",-7.87559233989359,0.1598768722921,3.65960864264451e-154,1.53319294156207,-4010.05773154459,-4009.98456081289,0.000573245152657447,-0.938235885360922,""
"20","2021-03-16_CA02_R5",-16.5367151273809,0.246203355671696,4.68692121135087e-196,1.53289647419705,-3788.17039577002,-3788.09810661339,0.000857027673994744,-0.964918922502095,""
"21","2021-03-16_CA02_R6",-195.699673511458,21.8473620102266,2.34964184187827e-17,1.59306316051758,-915.249399212624,-915.177327140552,0.0618649679625886,-0.439584477381441,""
"22","2021-03-17_BU01_A1",12.8544450799439,1.26708687734351,2.41543666382377e-21,1.56979031105218,-2425.65305538733,-2425.58328794547,0.00737388134149309,0.478809919257131,""
"23","2021-03-17_BU01_B1",47.9829101184897,0.15841986088645,0,1.55562941600776,-3770.79869777634,-3770.72684148891,0.000909194525165737,0.998173732489653,""
"24","2021-03-17_BU01_C1",20.7091441898129,0.192371758267142,9.36613935260663e-265,1.55167353450924,-3679.24230469137,-3679.17129877421,0.00110956512390668,0.985645857611547,""
"25","2021-03-17_BU01_D1",18.1562906414209,0.109763798544373,0,1.54862384032354,-4105.16165207404,-4105.09147663545,0.00063809395491024,0.993772399738098,""
"26","2021-03-17_BU01_E1",16.3070738785858,0.593805746323935,2.65349273797766e-88,1.54695025777549,-2908.88829112387,-2908.81728520671,0.00342197105229958,0.830216380017998,""
"27","2021-03-17_BU01_F1",14.2367480197997,0.11390502230096,6.97643516982814e-287,1.54737146894953,-4048.81819368379,-4048.74739722362,0.000657656209145908,0.989261372384893,""
"28","2021-03-17_BU01_R1",-8.60984320314743,0.327873794306122,5.39236138899095e-84,1.55992203633002,-3750.0565857713,-3749.985997536,0.00103287650546975,-0.817597612083032,""
"29","2021-03-17_BU01_R2",-8.61204633076355,0.224874193375869,2.30529869968328e-125,1.55719324467587,-3965.0585323882,-3964.98752647104,0.000730598057265663,-0.90100435150575,""
"30","2021-03-17_BU01_R3",-5.24855204027543,0.202614520393518,2.83589258423785e-82,1.55277893541219,-4046.69652246158,-4046.62509389015,0.000626202661218838,-0.815489268318263,""
"31","2021-03-17_BU01_R4",-0.949107074448529,0.202434987774102,3.99113322490687e-06,1.55089421004139,-4167.99468629816,-4167.923680381,0.000543034672653486,-0.246425920816937,""
"32","2021-03-17_BU01_R5",-3.45084472163682,0.144571229386718,2.43030266323624e-74,1.54854279332421,-4226.88981082618,-4226.81795453875,0.000463065297161758,-0.793119278076285,""
"33","2021-03-17_BU01_R6",-6.52929899746068,0.184037672414226,2.50517103342773e-116,1.54898295300941,-4161.83423223809,-4161.76322632093,0.000547947611843767,-0.887314041165652,""
"34","2021-03-17_GR01_A1",-1.64527509661573,0.212524703007986,1.22941474694703e-13,1.59186139563859,-3498.32744487072,-3498.25382523882,0.00119993721084931,-0.393053209247123,""
